333.348	82.0
333.679	91.0
334.011	91.0
334.343	92.0
334.674	93.0
335.006	94.0
335.338	92.0
335.670	95.0
336.002	93.0
336.334	97.0
336.666	92.0
336.998	92.0
337.330	93.0
337.662	92.0
337.994	92.0
338.326	93.0
338.658	97.0
338.990	98.0
339.323	95.0
339.655	94.0
339.987	94.0
340.320	99.0
340.652	96.0
340.984	98.0
341.317	94.0
341.649	100.0
341.982	96.0
342.314	95.0
342.647	95.0
342.979	92.0
343.312	90.0
343.645	93.0
343.978	98.0
344.310	91.0
344.643	91.0
344.976	97.0
345.309	95.0
345.642	94.0
345.975	92.0
346.308	96.0
346.641	94.0
346.974	97.0
347.307	97.0
347.640	96.0
347.973	99.0
348.306	99.0
348.639	96.0
348.972	93.0
349.306	97.0
349.639	93.0
349.972	91.0
350.306	93.0
350.639	94.0
350.972	92.0
351.306	100.0
351.639	91.0
351.973	92.0
352.306	95.0
352.640	95.0
352.974	103.0
353.307	96.0
353.641	92.0
353.975	95.0
354.309	98.0
354.642	94.0
354.976	98.0
355.310	93.0
355.644	109.0
355.978	95.0
356.312	95.0
356.646	95.0
356.980	95.0
357.314	94.0
357.648	93.0
357.982	94.0
358.316	97.0
358.651	93.0
358.985	94.0
359.319	97.0
359.653	94.0
359.988	96.0
360.322	96.0
360.656	97.0
360.991	97.0
361.325	95.0
361.660	93.0
361.994	91.0
362.329	93.0
362.664	92.0
362.998	95.0
363.333	96.0
363.668	93.0
364.002	93.0
364.337	99.0
364.672	99.0
365.007	97.0
365.342	96.0
365.676	96.0
366.011	94.0
366.346	95.0
366.681	93.0
367.016	95.0
367.351	99.0
367.687	95.0
368.022	97.0
368.357	94.0
368.692	98.0
369.027	99.0
369.363	99.0
369.698	94.0
370.033	95.0
370.369	93.0
370.704	96.0
371.039	95.0
371.375	89.0
371.710	95.0
372.046	93.0
372.381	95.0
372.717	100.0
373.053	94.0
373.388	99.0
373.724	95.0
374.060	97.0
374.395	102.0
374.731	98.0
375.067	97.0
375.403	95.0
375.739	95.0
376.075	95.0
376.411	96.0
376.747	95.0
377.083	97.0
377.419	95.0
377.755	98.0
378.091	98.0
378.427	98.0
378.763	94.0
379.099	93.0
379.436	95.0
379.772	95.0
380.108	95.0
380.445	94.0
380.781	94.0
381.117	96.0
381.454	93.0
381.790	94.0
382.127	94.0
382.463	97.0
382.800	95.0
383.137	95.0
383.473	93.0
383.810	92.0
384.147	94.0
384.483	92.0
384.820	93.0
385.157	93.0
385.494	101.0
385.831	104.0
386.167	94.0
386.504	99.0
386.841	95.0
387.178	93.0
387.515	94.0
387.852	95.0
388.189	92.0
388.527	92.0
388.864	96.0
389.201	95.0
389.538	96.0
389.875	96.0
390.213	94.0
390.550	98.0
390.887	95.0
391.225	97.0
391.562	95.0
391.899	96.0
392.237	92.0
392.574	96.0
392.912	95.0
393.250	94.0
393.587	96.0
393.925	95.0
394.262	94.0
394.600	95.0
394.938	93.0
395.276	93.0
395.613	95.0
395.951	96.0
396.289	92.0
396.627	97.0
396.965	97.0
397.303	94.0
397.641	97.0
397.979	93.0
398.317	94.0
398.655	94.0
398.993	97.0
399.331	96.0
399.669	95.0
400.008	96.0
400.346	92.0
400.684	97.0
401.022	95.0
401.361	93.0
401.699	94.0
402.037	93.0
402.376	92.0
402.714	95.0
403.053	94.0
403.391	95.0
403.730	102.0
404.068	96.0
404.407	93.0
404.746	93.0
405.084	99.0
405.423	94.0
405.762	93.0
406.101	97.0
406.439	93.0
406.778	93.0
407.117	97.0
407.456	96.0
407.795	96.0
408.134	96.0
408.473	95.0
408.812	93.0
409.151	93.0
409.490	95.0
409.829	96.0
410.168	94.0
410.508	91.0
410.847	99.0
411.186	96.0
411.525	95.0
411.865	101.0
412.204	98.0
412.543	93.0
412.883	98.0
413.222	97.0
413.562	94.0
413.901	98.0
414.241	96.0
414.580	96.0
414.920	96.0
415.259	99.0
415.599	102.0
415.939	100.0
416.278	105.0
416.618	98.0
416.958	100.0
417.298	99.0
417.637	99.0
417.977	104.0
418.317	103.0
418.657	98.0
418.997	101.0
